Grand Prix,Date,Winner First Name,Winner Last Name,Winner Short Name,Car,Team,Laps,Time,Winner,Year
India,28 Oct 2012,Sebastian,Vettel,VET,Red Bull Racing Renault,Red Bull Racing,60,1:31:10.744,Sebastian Vettel,2012
Abu Dhabi,04 Nov 2012,Kimi,Raikkonen,RAI,Lotus Renault,Lotus,55,1:45:58.667,Kimi Raikkonen,2012
United States,18 Nov 2012,Lewis,Hamilton,HAM,McLaren Mercedes,McLaren,56,1:35:55.269,Lewis Hamilton,2012
Brazil,25 Nov 2012,Jenson,Button,BUT,McLaren Mercedes,McLaren,71,1:45:22.656,Jenson Button,2012
Australia,17 Mar 2013,Kimi,Raikkonen,RAI,Lotus Renault,Lotus,58,1:30:03.225,Kimi Raikkonen,2013
Malaysia,24 Mar 2013,Sebastian,Vettel,VET,Red Bull Racing Renault,Red Bull Racing,56,1:38:56.681,Sebastian Vettel,2013
China,14 Apr 2013,Fernando,Alonso,ALO,Ferrari,Ferrari,56,1:36:26.945,Fernando Alonso,2013
Bahrain,21 Apr 2013,Sebastian,Vettel,VET,Red Bull Racing Renault,Red Bull Racing,57,1:36:00.498,Sebastian Vettel,2013
Spain,12 May 2013,Fernando,Alonso,ALO,Ferrari,Ferrari,66,1:39:16.596,Fernando Alonso,2013
Monaco,26 May 2013,Nico,Rosberg,ROS,Mercedes,Mercedes,78,2:17:52.056,Nico Rosberg,2013
Canada,09 Jun 2013,Sebastian,Vettel,VET,Red Bull Racing Renault,Red Bull Racing,70,1:32:09.143,Sebastian Vettel,2013
Great Britain,30 Jun 2013,Nico,Rosberg,ROS,Mercedes,Mercedes,52,1:32:59.456,Nico Rosberg,2013
Germany,07 Jul 2013,Sebastian,Vettel,VET,Red Bull Racing Renault,Red Bull Racing,60,1:41:14.711,Sebastian Vettel,2013
Hungary,28 Jul 2013,Lewis,Hamilton,HAM,Mercedes,Mercedes,70,1:42:29.445,Lewis Hamilton,2013
Belgium,25 Aug 2013,Sebastian,Vettel,VET,Red Bull Racing Renault,Red Bull Racing,44,1:23:42.196,Sebastian Vettel,2013
Italy,08 Sep 2013,Sebastian,Vettel,VET,Red Bull Racing Renault,Red Bull Racing,53,1:18:33.352,Sebastian Vettel,2013
Singapore,22 Sep 2013,Sebastian,Vettel,VET,Red Bull Racing Renault,Red Bull Racing,61,1:59:13.132,Sebastian Vettel,2013
South Korea,06 Oct 2013,Sebastian,Vettel,VET,Red Bull Racing Renault,Red Bull Racing,55,1:43:13.701,Sebastian Vettel,2013
Japan,13 Oct 2013,Sebastian,Vettel,VET,Red Bull Racing Renault,Red Bull Racing,53,1:26:49.301,Sebastian Vettel,2013
India,27 Oct 2013,Sebastian,Vettel,VET,Red Bull Racing Renault,Red Bull Racing,60,1:31:12.187,Sebastian Vettel,2013
Abu Dhabi,03 Nov 2013,Sebastian,Vettel,VET,Red Bull Racing Renault,Red Bull Racing,55,1:38:06.106,Sebastian Vettel,2013
United States,17 Nov 2013,Sebastian,Vettel,VET,Red Bull Racing Renault,Red Bull Racing,56,1:39:17.148,Sebastian Vettel,2013
Brazil,24 Nov 2013,Sebastian,Vettel,VET,Red Bull Racing Renault,Red Bull Racing,71,1:32:36.300,Sebastian Vettel,2013
Australia,16 Mar 2014,Nico,Rosberg,ROS,Mercedes,Mercedes,57,1:32:58.710,Nico Rosberg,2014
Malaysia,30 Mar 2014,Lewis,Hamilton,HAM,Mercedes,Mercedes,56,1:40:25.974,Lewis Hamilton,2014
Bahrain,06 Apr 2014,Lewis,Hamilton,HAM,Mercedes,Mercedes,57,1:39:42.743,Lewis Hamilton,2014
China,20 Apr 2014,Lewis,Hamilton,HAM,Mercedes,Mercedes,54,1:33:28.338,Lewis Hamilton,2014
Spain,11 May 2014,Lewis,Hamilton,HAM,Mercedes,Mercedes,66,1:41:05.155,Lewis Hamilton,2014
Monaco,25 May 2014,Nico,Rosberg,ROS,Mercedes,Mercedes,78,1:49:27.661,Nico Rosberg,2014
Canada,08 Jun 2014,Daniel,Ricciardo,RIC,Red Bull Racing Renault,Red Bull Racing,70,1:39:12.830,Daniel Ricciardo,2014
Austria,22 Jun 2014,Nico,Rosberg,ROS,Mercedes,Mercedes,71,1:27:54.976,Nico Rosberg,2014
Great Britain,06 Jul 2014,Lewis,Hamilton,HAM,Mercedes,Mercedes,52,2:26:52.094,Lewis Hamilton,2014
Germany,20 Jul 2014,Nico,Rosberg,ROS,Mercedes,Mercedes,67,1:33:42.914,Nico Rosberg,2014
Hungary,27 Jul 2014,Daniel,Ricciardo,RIC,Red Bull Racing Renault,Red Bull Racing,70,1:53:05.058,Daniel Ricciardo,2014
Belgium,24 Aug 2014,Daniel,Ricciardo,RIC,Red Bull Racing Renault,Red Bull Racing,44,1:24:36.556,Daniel Ricciardo,2014
Italy,07 Sep 2014,Lewis,Hamilton,HAM,Mercedes,Mercedes,53,1:19:10.236,Lewis Hamilton,2014
Singapore,21 Sep 2014,Lewis,Hamilton,HAM,Mercedes,Mercedes,60,2:00:04.795,Lewis Hamilton,2014
Japan,05 Oct 2014,Lewis,Hamilton,HAM,Mercedes,Mercedes,44,1:51:43.021,Lewis Hamilton,2014
Russia,21 Oct 2014,Lewis,Hamilton,HAM,Mercedes,Mercedes,53,1:31:50.744,Lewis Hamilton,2014
United States,02 Nov 2014,Lewis,Hamilton,HAM,Mercedes,Mercedes,56,1:40:04.785,Lewis Hamilton,2014
Brazil,09 Nov 2014,Nico,Rosberg,ROS,Mercedes,Mercedes,71,1:30:02.555,Nico Rosberg,2014
Abu Dhabi,23 Nov 2014,Lewis,Hamilton,HAM,Mercedes,Mercedes,55,1:39:02.619,Lewis Hamilton,2014
Australia,15 Mar 2015,Lewis,Hamilton,HAM,Mercedes,Mercedes,58,1:31:54.067,Lewis Hamilton,2015
Malaysia,29 Mar 2015,Sebastian,Vettel,VET,Ferrari,Ferrari,56,1:41:05.793,Sebastian Vettel,2015
China,12 Apr 2015,Lewis,Hamilton,HAM,Mercedes,Mercedes,56,1:39:42.008,Lewis Hamilton,2015
Bahrain,19 Apr 2015,Lewis,Hamilton,HAM,Mercedes,Mercedes,57,1:35:05.809,Lewis Hamilton,2015
Spain,10 May 2015,Nico,Rosberg,ROS,Mercedes,Mercedes,66,1:41:12.555,Nico Rosberg,2015
Monaco,24 May 2015,Nico,Rosberg,ROS,Mercedes,Mercedes,78,1:49:18.420,Nico Rosberg,2015
Canada,07 Jun 2015,Lewis,Hamilton,HAM,Mercedes,Mercedes,70,1:31:53.145,Lewis Hamilton,2015
Austria,21 Jun 2015,Nico,Rosberg,ROS,Mercedes,Mercedes,71,1:30:16.930,Nico Rosberg,2015
Great Britain,05 Jul 2015,Lewis,Hamilton,HAM,Mercedes,Mercedes,52,1:31:27.729,Lewis Hamilton,2015
Hungary,26 Jul 2015,Sebastian,Vettel,VET,Ferrari,Ferrari,69,1:46:09.985,Sebastian Vettel,2015
Belgium,23 Aug 2015,Lewis,Hamilton,HAM,Mercedes,Mercedes,43,1:23:40.387,Lewis Hamilton,2015
Italy,06 Sep 2015,Lewis,Hamilton,HAM,Mercedes,Mercedes,53,1:18:00.688,Lewis Hamilton,2015
Singapore,20 Sep 2015,Sebastian,Vettel,VET,Ferrari,Ferrari,61,2:01:22.118,Sebastian Vettel,2015
Japan,27 Sep 2015,Lewis,Hamilton,HAM,Mercedes,Mercedes,53,1:28:06.508,Lewis Hamilton,2015
Russia,11 Oct 2015,Lewis,Hamilton,HAM,Mercedes,Mercedes,53,1:37:11.024,Lewis Hamilton,2015
United States,25 Oct 2015,Lewis,Hamilton,HAM,Mercedes,Mercedes,56,1:50:52.703,Lewis Hamilton,2015
Mexico,01 Nov 2015,Nico,Rosberg,ROS,Mercedes,Mercedes,71,1:42:35.038,Nico Rosberg,2015
Brazil,15 Nov 2015,Nico,Rosberg,ROS,Mercedes,Mercedes,71,1:31:09.090,Nico Rosberg,2015
Abu Dhabi,29 Nov 2015,Nico,Rosberg,ROS,Mercedes,Mercedes,55,1:38:30.175,Nico Rosberg,2015
Australia,20 Mar 2016,Nico,Rosberg,ROS,Mercedes,Mercedes,57,1:48:15.565,Nico Rosberg,2016
Bahrain,03 Apr 2016,Nico,Rosberg,ROS,Mercedes,Mercedes,57,1:33:34.696,Nico Rosberg,2016
China,17 Apr 2016,Nico,Rosberg,ROS,Mercedes,Mercedes,56,1:38:53.891,Nico Rosberg,2016
Russia,01 May 2016,Nico,Rosberg,ROS,Mercedes,Mercedes,53,1:32:41.997,Nico Rosberg,2016
Spain,15 May 2016,Max,Verstappen,VES,Red Bull Racing TAG Heuer,Red Bull Racing,66,1:41:40.017,Max Verstappen,2016
Monaco,29 May 2016,Lewis,Hamilton,HAM,Mercedes,Mercedes,78,1:59:29.133,Lewis Hamilton,2016
Canada,12 Jun 2016,Lewis,Hamilton,HAM,Mercedes,Mercedes,70,1:31:05.296,Lewis Hamilton,2016
Europe,19 Jun 2016,Nico,Rosberg,ROS,Mercedes,Mercedes,51,1:32:52.366,Nico Rosberg,2016
Austria,03 Jul 2016,Lewis,Hamilton,HAM,Mercedes,Mercedes,71,1:27:38.107,Lewis Hamilton,2016
Great Britain,10 Jul 2016,Lewis,Hamilton,HAM,Mercedes,Mercedes,52,1:34:55.831,Lewis Hamilton,2016
