Grand Prix,Date,Winner First Name,Winner Last Name,Winner Short Name,Car,Team,Laps,Time,Winner,Year
France,05 Jul 1992,Nigel,Mansell,MAN,Williams Renault,Williams,69,1:38:08.459,Nigel Mansell,1992
Great Britain,12 Jul 1992,Nigel,Mansell,MAN,Williams Renault,Williams,59,1:25:42.991,Nigel Mansell,1992
Germany,26 Jul 1992,Nigel,Mansell,MAN,Williams Renault,Williams,45,1:18:22.032,Nigel Mansell,1992
Hungary,16 Aug 1992,Ayrton,Senna,SEN,McLaren Honda,McLaren,77,1:46:19.216,Ayrton Senna,1992
Belgium,30 Aug 1992,Michael,Schumacher,MSC,Benetton Ford,Benetton,44,1:36:10.721,Michael Schumacher,1992
Italy,13 Sep 1992,Ayrton,Senna,SEN,McLaren Honda,McLaren,53,1:18:15.349,Ayrton Senna,1992
Portugal,27 Sep 1992,Nigel,Mansell,MAN,Williams Renault,Williams,71,1:34:46.659,Nigel Mansell,1992
Japan,25 Oct 1992,Riccardo,Patrese,PAT,Williams Renault,Williams,53,1:33:09.553,Riccardo Patrese,1992
Australia,08 Nov 1992,Gerhard,Berger,BER,McLaren Honda,McLaren,82,1:46:54.786,Gerhard Berger,1992
South Africa,14 Mar 1993,Alain,Prost,PRO,Williams Renault,Williams,72,1:38:45.082,Alain Prost,1993
Brazil,28 Mar 1993,Ayrton,Senna,SEN,McLaren Ford,McLaren,71,1:51:15.485,Ayrton Senna,1993
Europe,11 Apr 1993,Ayrton,Senna,SEN,McLaren Ford,McLaren,76,1:50:46.570,Ayrton Senna,1993
San Marino,25 Apr 1993,Alain,Prost,PRO,Williams Renault,Williams,61,1:33:20.413,Alain Prost,1993
Spain,09 May 1993,Alain,Prost,PRO,Williams Renault,Williams,65,1:32:27.685,Alain Prost,1993
Monaco,23 May 1993,Ayrton,Senna,SEN,McLaren Ford,McLaren,78,1:52:10.947,Ayrton Senna,1993
Canada,13 Jun 1993,Alain,Prost,PRO,Williams Renault,Williams,69,1:36:41.822,Alain Prost,1993
France,04 Jul 1993,Alain,Prost,PRO,Williams Renault,Williams,72,1:38:35.241,Alain Prost,1993
Great Britain,11 Jul 1993,Alain,Prost,PRO,Williams Renault,Williams,59,1:25:38.189,Alain Prost,1993
Germany,25 Jul 1993,Alain,Prost,PRO,Williams Renault,Williams,45,1:18:40.885,Alain Prost,1993
Hungary,15 Aug 1993,Damon,Hill,HIL,Williams Renault,Williams,77,1:47:39.098,Damon Hill,1993
Belgium,29 Aug 1993,Damon,Hill,HIL,Williams Renault,Williams,44,1:24:32.124,Damon Hill,1993
Italy,12 Sep 1993,Damon,Hill,HIL,Williams Renault,Williams,53,1:17:07.509,Damon Hill,1993
Portugal,26 Sep 1993,Michael,Schumacher,MSC,Benetton Ford,Benetton,71,1:32:46.309,Michael Schumacher,1993
Japan,24 Oct 1993,Ayrton,Senna,SEN,McLaren Ford,McLaren,53,1:40:27.912,Ayrton Senna,1993
Australia,07 Nov 1993,Ayrton,Senna,SEN,McLaren Ford,McLaren,79,1:43:27.476,Ayrton Senna,1993
Brazil,27 Mar 1994,Michael,Schumacher,MSC,Benetton Ford,Benetton,71,1:35:38.759,Michael Schumacher,1994
Pacific,17 Apr 1994,Michael,Schumacher,MSC,Benetton Ford,Benetton,83,1:46:01.693,Michael Schumacher,1994
San Marino,01 May 1994,Michael,Schumacher,MSC,Benetton Ford,Benetton,58,1:28:28.642,Michael Schumacher,1994
Monaco,15 May 1994,Michael,Schumacher,MSC,Benetton Ford,Benetton,78,1:49:55.372,Michael Schumacher,1994
Spain,29 May 1994,Damon,Hill,HIL,Williams Renault,Williams,65,1:36:14.374,Damon Hill,1994
Canada,12 Jun 1994,Michael,Schumacher,MSC,Benetton Ford,Benetton,69,1:44:31.887,Michael Schumacher,1994
France,03 Jul 1994,Michael,Schumacher,MSC,Benetton Ford,Benetton,72,1:38:35.704,Michael Schumacher,1994
Great Britain,10 Jul 1994,Damon,Hill,HIL,Williams Renault,Williams,60,1:30:03.640,Damon Hill,1994
Germany,31 Jul 1994,Gerhard,Berger,BER,Ferrari,Ferrari,45,1:22:37.272,Gerhard Berger,1994
Hungary,14 Aug 1994,Michael,Schumacher,MSC,Benetton Ford,Benetton,77,1:48:00.185,Michael Schumacher,1994
Belgium,28 Aug 1994,Damon,Hill,HIL,Williams Renault,Williams,44,1:28:47.170,Damon Hill,1994
Italy,11 Sep 1994,Damon,Hill,HIL,Williams Renault,Williams,53,1:18:02.754,Damon Hill,1994
Portugal,25 Sep 1994,Damon,Hill,HIL,Williams Renault,Williams,71,1:41:10.165,Damon Hill,1994
Europe,16 Oct 1994,Michael,Schumacher,MSC,Benetton Ford,Benetton,69,1:40:26.689,Michael Schumacher,1994
Japan,06 Nov 1994,Damon,Hill,HIL,Williams Renault,Williams,50,1:55:53.532,Damon Hill,1994
Australia,13 Nov 1994,Nigel,Mansell,MAN,Williams Renault,Williams,81,1:47:51.480,Nigel Mansell,1994
Brazil,26 Mar 1995,Michael,Schumacher,MSC,Benetton Renault,Benetton,71,1:38:34.154,Michael Schumacher,1995
Argentina,09 Apr 1995,Damon,Hill,HIL,Williams Renault,Williams,71,1:51:39.531,Damon Hill,1995
San Marino,30 Apr 1995,Damon,Hill,HIL,Williams Renault,Williams,63,1:41:42.552,Damon Hill,1995
Spain,14 May 1995,Michael,Schumacher,MSC,Benetton Renault,Benetton,65,1:34:20.507,Michael Schumacher,1995
Monaco,28 May 1995,Michael,Schumacher,MSC,Benetton Renault,Benetton,78,1:53:11.258,Michael Schumacher,1995
Canada,11 Jun 1995,Jean,Alesi,ALE,Ferrari,Ferrari,69,1:46:31.333,Jean Alesi,1995
France,02 Jul 1995,Michael,Schumacher,MSC,Benetton Renault,Benetton,72,1:38:28.429,Michael Schumacher,1995
Great Britain,16 Jul 1995,Johnny,Herbert,HER,Benetton Renault,Benetton,61,1:34:35.093,Johnny Herbert,1995
Germany,30 Jul 1995,Michael,Schumacher,MSC,Benetton Renault,Benetton,45,1:22:56.043,Michael Schumacher,1995
Hungary,13 Aug 1995,Damon,Hill,HIL,Williams Renault,Williams,77,1:46:25.721,Damon Hill,1995
Belgium,27 Aug 1995,Michael,Schumacher,MSC,Benetton Renault,Benetton,44,1:36:47.875,Michael Schumacher,1995
Italy,10 Sep 1995,Johnny,Herbert,HER,Benetton Renault,Benetton,53,1:18:27.916,Johnny Herbert,1995
Portugal,24 Sep 1995,David,Coulthard,COU,Williams Renault,Williams,71,1:41:52.145,David Coulthard,1995
Europe,01 Oct 1995,Michael,Schumacher,MSC,Benetton Renault,Benetton,67,1:39:59.044,Michael Schumacher,1995
Pacific,22 Oct 1995,Michael,Schumacher,MSC,Benetton Renault,Benetton,83,1:48:49.972,Michael Schumacher,1995
Japan,29 Oct 1995,Michael,Schumacher,MSC,Benetton Renault,Benetton,53,1:36:52.930,Michael Schumacher,1995
Australia,12 Nov 1995,Damon,Hill,HIL,Williams Renault,Williams,81,1:49:15.946,Damon Hill,1995
Australia,10 Mar 1996,Damon,Hill,HIL,Williams Renault,Williams,58,1:32:50.491,Damon Hill,1996
Brazil,31 Mar 1996,Damon,Hill,HIL,Williams Renault,Williams,71,1:49:52.976,Damon Hill,1996
Argentina,07 Apr 1996,Damon,Hill,HIL,Williams Renault,Williams,72,1:54:55.322,Damon Hill,1996
Europe,28 Apr 1996,Jacques,Villeneuve,VIL,Williams Renault,Williams,67,1:33:26.473,Jacques Villeneuve,1996
San Marino,05 May 1996,Damon,Hill,HIL,Williams Renault,Williams,63,1:35:26.156,Damon Hill,1996
Monaco,19 May 1996,Olivier,Panis,PAN,Ligier Mugen Honda,Ligier,75,2:00:45.629,Olivier Panis,1996
Spain,02 Jun 1996,Michael,Schumacher,MSC,Ferrari,Ferrari,65,1:59:49.307,Michael Schumacher,1996
Canada,16 Jun 1996,Damon,Hill,HIL,Williams Renault,Williams,69,1:36:03.465,Damon Hill,1996
France,30 Jun 1996,Damon,Hill,HIL,Williams Renault,Williams,72,1:36:28.795,Damon Hill,1996
Great Britain,14 Jul 1996,Jacques,Villeneuve,VIL,Williams Renault,Williams,61,1:33:00.874,Jacques Villeneuve,1996
Germany,28 Jul 1996,Damon,Hill,HIL,Williams Renault,Williams,45,1:21:43.417,Damon Hill,1996
Hungary,11 Aug 1996,Jacques,Villeneuve,VIL,Williams Renault,Williams,77,1:46:21.134,Jacques Villeneuve,1996
Belgium,25 Aug 1996,Michael,Schumacher,MSC,Ferrari,Ferrari,44,1:28:15.125,Michael Schumacher,1996
Italy,08 Sep 1996,Michael,Schumacher,MSC,Ferrari,Ferrari,53,1:17:43.632,Michael Schumacher,1996
Portugal,22 Sep 1996,Jacques,Villeneuve,VIL,Williams Renault,Williams,70,1:40:22.915,Jacques Villeneuve,1996
Japan,13 Oct 1996,Damon,Hill,HIL,Williams Renault,Williams,52,1:32:33.791,Damon Hill,1996
Australia,09 Mar 1997,David,Coulthard,COU,McLaren Mercedes,McLaren,58,1:30:28.718,David Coulthard,1997
Brazil,30 Mar 1997,Jacques,Villeneuve,VIL,Williams Renault,Williams,72,1:36:06.990,Jacques Villeneuve,1997
Argentina,13 Apr 1997,Jacques,Villeneuve,VIL,Williams Renault,Williams,72,1:52:01.715,Jacques Villeneuve,1997
San Marino,27 Apr 1997,Heinz-Harald,Frentzen,FRE,Williams Renault,Williams,62,1:31:00.673,Heinz-Harald Frentzen,1997
Monaco,11 May 1997,Michael,Schumacher,MSC,Ferrari,Ferrari,62,2:00:05.654,Michael Schumacher,1997
Spain,25 May 1997,Jacques,Villeneuve,VIL,Williams Renault,Williams,64,1:30:35.896,Jacques Villeneuve,1997
Canada,15 Jun 1997,Michael,Schumacher,MSC,Ferrari,Ferrari,54,1:17:40.646,Michael Schumacher,1997
France,29 Jun 1997,Michael,Schumacher,MSC,Ferrari,Ferrari,72,1:38:50.492,Michael Schumacher,1997
Great Britain,13 Jul 1997,Jacques,Villeneuve,VIL,Williams Renault,Williams,59,1:28:01.665,Jacques Villeneuve,1997
Germany,27 Jul 1997,Gerhard,Berger,BER,Benetton Renault,Benetton,45,1:20:59.046,Gerhard Berger,1997
Hungary,10 Aug 1997,Jacques,Villeneuve,VIL,Williams Renault,Williams,77,1:45:47.149,Jacques Villeneuve,1997
Belgium,24 Aug 1997,Michael,Schumacher,MSC,Ferrari,Ferrari,44,1:33:46.717,Michael Schumacher,1997
Italy,07 Sep 1997,David,Coulthard,COU,McLaren Mercedes,McLaren,53,1:17:04.609,David Coulthard,1997
Austria,21 Sep 1997,Jacques,Villeneuve,VIL,Williams Renault,Williams,71,1:27:35.999,Jacques Villeneuve,1997
Luxembourg,28 Sep 1997,Jacques,Villeneuve,VIL,Williams Renault,Williams,67,1:31:27.843,Jacques Villeneuve,1997
Japan,12 Oct 1997,Michael,Schumacher,MSC,Ferrari,Ferrari,53,1:29:48.446,Michael Schumacher,1997
Europe,26 Oct 1997,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,69,1:38:57.771,Mika Hakkinen,1997
Australia,08 Mar 1998,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,58,1:31:45.996,Mika Hakkinen,1998
Brazil,29 Mar 1998,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,72,1:37:11.747,Mika Hakkinen,1998
Argentina,12 Apr 1998,Michael,Schumacher,MSC,Ferrari,Ferrari,72,1:48:36.175,Michael Schumacher,1998
San Marino,26 Apr 1998,David,Coulthard,COU,McLaren Mercedes,McLaren,62,1:34:24.593,David Coulthard,1998
Spain,10 May 1998,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,65,1:33:37.621,Mika Hakkinen,1998
Monaco,24 May 1998,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,78,1:51:23.595,Mika Hakkinen,1998
Canada,07 Jun 1998,Michael,Schumacher,MSC,Ferrari,Ferrari,69,1:40:57.355,Michael Schumacher,1998
France,28 Jun 1998,Michael,Schumacher,MSC,Ferrari,Ferrari,71,1:34:45.026,Michael Schumacher,1998
Great Britain,12 Jul 1998,Michael,Schumacher,MSC,Ferrari,Ferrari,60,1:47:02.450,Michael Schumacher,1998
Austria,26 Jul 1998,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,71,1:30:44.086,Mika Hakkinen,1998
Germany,02 Aug 1998,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,45,1:20:47.984,Mika Hakkinen,1998
Hungary,16 Aug 1998,Michael,Schumacher,MSC,Ferrari,Ferrari,77,1:45:25.550,Michael Schumacher,1998
Belgium,30 Aug 1998,Damon,Hill,HIL,Jordan Mugen Honda,Jordan,44,1:43:47.407,Damon Hill,1998
Italy,13 Sep 1998,Michael,Schumacher,MSC,Ferrari,Ferrari,53,1:17:09.672,Michael Schumacher,1998
Luxembourg,27 Sep 1998,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,67,1:32:14.789,Mika Hakkinen,1998
Japan,01 Nov 1998,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,51,1:27:22.535,Mika Hakkinen,1998
Australia,07 Mar 1999,Eddie,Irvine,IRV,Ferrari,Ferrari,57,1:35:01.659,Eddie Irvine,1999
Brazil,11 Apr 1999,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,72,1:36:03.785,Mika Hakkinen,1999
